TGAS,HIP,cat,tenc,tenc.5per,tenc.95per,denc,denc.5per,denc.95per,venc,venc.5per,venc.95per
NA,54035,xh,0,0,0,2.54625118849639,2.53238202316848,2.55360826171799,93.3862590640776,93.2208179637489,93.5465382136383
NA,54211,xh,-0.026,-0.026,-0.026,3.76581582995889,3.68072482620774,3.81015649120666,115.692720728665,115.109741767426,116.317977879719
3796072587910775808,57548,xt,0,0,0,3.38264085000734,3.36201361548442,3.39326229592275,47.5635607147483,47.4328184102374,47.6864987142773
NA,70890,xh,0,0,0,1.29961628299043,1.28492069137692,1.3071051175202,37.2318652779044,36.5371428941877,37.9207882091662
2154877657540108800,91768,xt,-0.058,-0.058,-0.057,2.76965707404225,2.74536057444635,2.78143591183607,36.8295194499442,36.7182457349659,36.942307381696
NA,71681,rh,0,0,0,1.25811814846655,1.133701431365,1.33289455508352,36.234529568994,34.4353136913013,38.0438587648028
NA,71683,xh,0,0,0,1.3281203057783,1.30413242597761,1.34072215494444,35.2823941326953,34.2443966293572,36.31004985067
4330690909825212928,80824,xt,0,0,0,4.29872789568994,4.26863650122085,4.31358600311428,13.0186897828126,12.9298095638105,13.1069724742844
5108377030337405952,17288,xt,-6.793,-7.199,-6.375,1.34292633674374,0.0687553075587783,7.81462279296563,14.8540522852046,14.3784987724152,15.3742698484135
NA,85523,xh,-0.007,-0.007,-0.007,4.53656508297139,4.44272335704216,4.58744259064181,19.9582869934671,19.864078437767,20.0472997743141
1637645328881199360,86162,xt,0,0,0,4.53574895056822,4.50871071097089,4.54905489149732,42.0270601623081,41.9404648501363,42.1098220407138
NA,87937,xh,0,0,0,1.81411531331673,1.79663759309272,1.8225965070056,134.906377399806,134.568337233517,135.240109411701
NA,104214,xh,0,0,0,3.4767203833246,3.24675398023487,3.6228883942893,89.1042668294795,86.20798459318,92.3486043616278
2154877657540105216,91772,xt,-0.055,-0.055,-0.055,2.69717851957506,2.65830418729397,2.7175997692686,39.3115408933842,39.1442194399173,39.476040182227
NA,104217,xh,0,0,0,3.48818477717881,3.46595003811096,3.49965621759702,86.6545309389848,86.4176267356151,86.9011714123283
6583271789081861120,105090,xt,-0.015,-0.015,-0.015,3.79493374274436,3.76397471331254,3.81172007536466,79.0781713967645,78.8537050405732,79.3154324706546
NA,108870,xh,0,0,0,3.62448233119068,3.6120819353632,3.63085149405396,72.0800414147576,71.8439606346839,72.3121318617822
NA,110893,xh,0,0,0,3.99291281362129,3.90329940041926,4.04620872569869,39.4087090393113,39.1971206052708,39.6461099047491
NA,114046,xh,-0.003,-0.003,-0.003,3.26661207140871,3.24548241948919,3.27978603205935,93.3417922178153,92.9253675654126,93.7583294622419
