TGAS.ID,HIP.ID,cat,ra,dec,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,rv,erv,qrv,tenc,tenc.5per,tenc.95per,denc,denc.5per,denc.95per,venc,venc.5per,venc.95per
NA,8102,rh,26.0170142157735,-15.9407420579688,273.96,-1721.05,854.16,0.14,0.13,0.17,0.18,0.15,9.76937380182049,-3.92388682395483,2.57761275982903,3.23040118007987,-2.0740596430806,0.581029274454878,1.29747899159664,0.43187009521225,-0.237600922722029,1.15686274509804,-17.548,1.038,0.470303081947046,0,0,0,3.65442267693787,3.64789484650986,3.65806758814369,63.8028852528621,63.091151373356,64.6025088562795
NA,16537,xh,53.2326873471607,-9.45833310604873,310.94,-975.17,19.49,0.14,0.11,0.16,0.21,0.2,6.70355221625593,2.67720126257168,-4.62618607205105,-2.70156926406925,1.50052175710767,-3.7134471844293,-1.92658730158729,-1.63858860375833,-0.71428571428571,1.78571428571428,16.43,0.09,A,0,0,0,3.22344012023937,3.21866929014186,3.22610271668048,33.1412788207183,33.128534107121,33.1547374095936
NA,19849,xh,63.8179989651992,-7.6398081945388,200.62,-2240.12,-3420.27,0.17,0.14,0.23,0.23,0.2,3.7934051822068,-1.98517408481843,1.56583404207394,1.10184156054974,-3.03437691343784,1.4174142423854,1.28468751334956,-2.53322440087145,-2.1693899782135,0.921568627450978,-42.32,0.08,A,0,0,0,4.99288883553693,4.97361040349933,5.00279742243981,113.295054181284,113.125734416554,113.459070216534
NA,24186,xh,77.9190825446565,-44.9965274185835,255.66,6505.08,-5730.84,0.79,0.81,0.91,0.98,0.96,-0.166203091190352,0.25917825366247,-0.14551175027005,-0.0469529441631946,-0.0750194525334887,-0.0804128648158934,-0.0952086973403223,-0.0152941176470588,0.06,-0.254901960784314,245.19,0.1,A,-0.012,-0.012,-0.012,2.28157998314517,2.24297539629579,2.30414025589244,270.890244809689,270.327914696174,271.487834953097
4863923915804133376,NULL,rt,67.8213212425845,-41.3434760777557,5.20382430543382,15.0016724543772,1.42133055501414,0.33646010958314,0.266262109287856,0.331821023818451,0.578371217772096,1.29181097488869,0.7842335,0.8818907,-0.5936357,-0.74150914,0.9031871,-0.13201953,-0.9436409,-0.26151156,-0.9165393,-0.026211087,42.516,0.8,129582,-8.97,-9.868,-8.002,1.55488476937157,0.680616450801345,26.3407093426013,22.1062669582358,20.8577903501929,23.6668389550567
NA,30920,xh,97.3475278811637,-2.81162685977672,242.32,705.28,-611.92,2.51,2.42,3.12,2.66,2.4,0.0950793660604491,0.0456601206416688,-0.184067799880074,-0.108956082507965,-0.223290838331615,-0.0835880698212858,-0.208925283806394,-0.0506803269084305,-0.0283701447067784,0.173076923076923,16.7,0.2,A,0,0,0,4.13641935522857,3.9522288599004,4.22545791028037,14.1703280235387,13.8794636540281,14.4704205419053
NA,36208,xh,111.852082307502,5.23989414057348,262.98,572.51,-3693.51,1.3,0.78,1.39,1.5,0.96,-0.0283055122729182,0.185616301435023,-0.322920939244043,-0.0489011128144095,0.0281991090132582,0.0249759893997524,-0.552100478590059,-0.0867602331167373,0.0856144437973209,-0.235294117647059,18.22,0.1,A,0,0,0,3.81110837102201,3.7555800704309,3.84525977990805,52.1196955784092,51.5246557828876,52.7211201351366
NA,49908,xh,152.84225198574,49.4561650830982,205.21,-1362.32,-504.52,0.36,0.28,0.54,0.43,0.32,-0.235308677645519,0.729257823610542,-0.366960293702116,0.309749137937876,-0.468509236105196,0.209528524833054,0.246854779238493,-1.05992094153481,0.589377498572245,-0.705882352941176,-25.73,0.1,A,0,0,0,4.87192367062086,4.82887912887334,4.89421562374005,28.1493880767187,28.0034989631189,28.2935608275549
NA,54035,xh,165.834141403599,35.9880829560603,392.64,-580.27,-4765.85,0.53,0.44,0.67,0.62,0.64,-0.987938703698803,0.296044085668218,0.951818302426648,-0.559484914779032,-0.207016257793935,-0.301210045563992,0.28703200938495,-0.0731580100810871,0.102051282051282,-0.931623931623932,-84.69,0.1,A,0,0,0,2.54625118849639,2.53238202316848,2.55360826171799,93.3862590640776,93.2208179637489,93.5465382136383
NA,54211,xh,166.369073705911,43.5231751581421,206.27,-4410.43,942.93,0.69,0.68,1,0.78,0.7,-0.398022442217581,0.227528508188885,0.0746878954426124,0.104623491415944,-0.4293022644671,0.156633870919585,-0.434412434412435,-0.259593581022153,0.381868131868132,-0.428571428571429,68.89,0.1,A,-0.026,-0.026,-0.026,3.76581582995889,3.68072482620774,3.81015649120666,115.692720728665,115.109741767426,116.317977879719
3796072587910775808,57548,xt,176.934989071093,0.801157895375137,295.803637660608,607.178620154543,-1222.69221620347,0.462309474232046,0.281369701248622,0.53566360613119,0.136708081143756,0.103365200354221,-0.41216055,0.2585037,0.10545007,-0.015581624,-0.37327245,-0.046301726,0.0608732,0.09795019,-0.089030355,-0.17162485,-31.09,0.1,A,0,0,0,3.38264085000734,3.36201361548442,3.39326229592275,47.5635607147483,47.4328184102374,47.6864987142773
NA,70890,xh,217.428950935501,-62.6824151124023,771.64,-3775.75,765.54,1.39,1.57,2.6,1.63,2.01,0.160296382035772,-0.0353610843486991,0.204617965317767,0.0598549552072636,-0.0795100824381016,0.0633685143690798,0.041117277099519,-0.0237726949092204,0.0134905660377359,0.216981132075472,-22.4,0.5,B,0,0,0,1.29961628299043,1.28492069137692,1.3071051175202,37.2318652779044,36.5371428941877,37.9207882091662
2154877657540108800,91768,xt,280.694601179447,59.6353666122659,283.536921858004,-1311.3312757428,1795.07890369243,0.389218307239511,0.301626598720741,0.407928974587608,0.140945716373161,0.13180592684526,-0.037897762,-0.67933774,0.0936462,-0.0024606527,0.14529768,-0.04833799,0.007598846,-0.13974914,-0.021613903,-0.12805794,-1.07,0.09,A,-0.058,-0.058,-0.057,2.76965707404225,2.74536057444635,2.78143591183607,36.8295194499442,36.7182457349659,36.942307381696
NA,71681,rh,219.89609518805,-60.8405957140248,796.92,-3614.39,802.98,19.15,14.24,25.9,20.48,19.52,8.13996283805782,-4.55636334036352,-1.18195320447176,-1.18842581066429,-1.4027286010974,-2.6834380499835,-1.31814197995359,0.0620400934319973,0.134634958822984,2.13084112149533,-21.484,1.333,0.490058556591852,0,0,0,1.25811814846655,1.133701431365,1.33289455508352,36.234529568994,34.4353136913013,38.0438587648028
NA,71683,xh,219.902057670496,-60.835803093975,754.81,-3679.25,473.67,3.07,2.46,4.11,3.89,3.24,78.1928177865012,-68.1507642593145,88.3303677738197,19.6772872107843,-11.6756516594259,15.0462158321826,3.35492318680269,-13.3971391000718,-2.96349009901014,4.24107142857174,-21.4,0.76,A,0,0,0,1.3281203057783,1.30413242597761,1.34072215494444,35.2823941326953,34.2443966293572,36.31004985067
4330690909825212928,80824,xt,247.575243311345,-12.6658783335623,232.285621237946,-94.2117493126069,-1183.67930726527,0.420255066009378,0.251274554784418,0.487817090240799,0.109658976535051,0.0658534616328076,-0.2331303,-0.14237812,0.05495232,0.018551838,-0.057117924,0.01375826,0.054251697,0.031118184,-0.041345693,-0.51218486,-21.22,0.1,A,0,0,0,4.29872789568994,4.26863650122085,4.31358600311428,13.0186897828126,12.9298095638105,13.1069724742844
5108377030337405952,17288,xt,55.5172273039408,-17.1459655615728,10.0257968157475,33.6151073947142,-18.9289206641971,0.257285328309225,0.194714868988361,0.330204623879172,0.0566850563950463,0.0512586340877544,-0.5826872,0.52213836,0.14455263,-0.13270961,-0.6347873,-0.09543453,0.16239585,0.06171037,-0.17023276,0.10903248,32.7,0.3,A,-6.793,-7.199,-6.375,1.34292633674374,0.0687553075587783,7.81462279296563,14.8540522852046,14.3784987724152,15.3742698484135
NA,85523,xh,262.166435769886,-46.8918282234189,220.24,571.26,-880.83,1.31,0.73,1.42,1.77,0.74,0.0784238504927282,-0.182826959252569,0.168244517526136,0.118094371385179,-0.00569529646966882,-0.0822951782113172,-0.419339317109281,0.0620605734042792,0.0653465346534654,0.4,-2.73,0,A,-0.007,-0.007,-0.007,4.53656508297139,4.44272335704216,4.58744259064181,19.9582869934671,19.864078437767,20.0472997743141
1637645328881199360,86162,xt,264.10791290319,68.3356138431298,220.024758106481,-320.719466610991,-1269.76034749129,0.445606148884327,0.40546629696135,0.393103227161219,0.065877784354928,0.0730899729525266,-0.4018359,-0.085461155,0.30141196,-0.073269404,0.2271576,-0.12954679,0.18661326,-0.05896588,0.013352168,0.059290666,-28.58,0.09,A,0,0,0,4.53574895056822,4.50871071097089,4.54905489149732,42.0270601623081,41.9404648501363,42.1098220407138
NA,87937,xh,269.452075174325,4.65394319801711,548.31,-798.58,10328.12,1.25,1.01,1.51,1.72,1.22,0.0755895363691217,-0.0640717844769663,-0.11957380371266,0.0134106842850252,-0.154229156874492,-0.0226402560270031,-0.165548938021811,0.0904892072768404,-0.0574909575480678,0.194174757281553,-110.51,0.1,A,0,0,0,1.81411531331673,1.79663759309272,1.8225965070056,134.906377399806,134.568337233517,135.240109411701
NA,104214,xh,316.724800606522,38.7369545765157,286.82,4168.31,3269.2,4.49,6.85,6.78,6.57,12.08,-0.0699502696596886,0.321831537864141,-0.033540954946335,-0.16264867085448,0.233210143307029,-0.324340501237624,-0.224605507425743,-0.108162376237624,0.0374257425742574,0.02,-65.74,0.09,A,0,0,0,3.4767203833246,3.24675398023487,3.6228883942893,89.1042668294795,86.20798459318,92.3486043616278
2154877657540105216,91772,xt,280.695400528448,59.632047114983,286.391028275881,-1400.75330298341,1858.52671766582,0.920717084501684,0.292361376773703,0.832375150269971,0.196825638699699,0.18249964265759,-0.114585236,-0.9205939,0.19911934,0.053266894,0.07955213,-0.07212682,-0.124304965,-0.22327942,-0.09154814,-0.17301227,1.09,0.09,A,-0.055,-0.055,-0.055,2.69717851957506,2.65830418729397,2.7175997692686,39.3115408933842,39.1442194399173,39.476040182227
NA,104217,xh,316.730265088592,38.7300462152491,285.88,4106.9,3144.68,0.31,0.39,0.54,0.32,0.44,0.510448210475748,-1.54890107041887,0.56869151544953,-0.441048297407326,-1.56726539952996,0.527269585261235,-0.761518496883295,-1.93260003837398,1.70677837014471,-0.386138613861386,-64.07,0.08,A,0,0,0,3.48818477717881,3.46595003811096,3.49965621759702,86.6545309389848,86.4176267356151,86.9011714123283
6583271789081861120,105090,xt,319.313624582692,-38.8705464524506,251.138192234411,-3259.35780724873,-1145.97639746163,0.368212845117496,0.370400348749862,0.568683212717115,0.0477685479375708,0.0374664440379972,0.8779646,-0.46082315,0.3587622,0.32890886,-0.6041587,0.35364756,0.34699395,-0.22721472,-0.20074561,0.23872018,20.11,0.15,A,-0.015,-0.015,-0.015,3.79493374274436,3.76397471331254,3.81172007536466,79.0781713967645,78.8537050405732,79.3154324706546
